id , project_slug                                                                            , cve_id          , cwe_id  , cwe_name                                                                                              , github_username       , github_repository_name                  , github_tag                                    , github_url                                                        , advisory_id        , buggy_commit_id                         , fix_commit_ids
  1, perwendel__spark_CVE-2018-9159_2.7.1                                                    , CVE-2018-9159   , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , perwendel             , spark                                   , 2.7.1                                         , https://github.com/perwendel/spark                                , GHSA-76qr-mmh8-cp8f, 5316c0d0f057daaf556c3907c20df975f7bf8a8a, 030e9d00125cbd1ad759668f85488aba1019c668;a221a864db28eb736d36041df2fa6eb8839fc5cd;ce9e11517eca69e58ed4378d1e47a02bd06863cc
  2, perwendel__spark_CVE-2016-9177_2.5.1                                                    , CVE-2016-9177   , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , perwendel             , spark                                   , 2.5.1                                         , https://github.com/perwendel/spark                                , GHSA-89gc-6cw6-4vch, ce57dfb949ed183405f75dee8cf3262b45c9b3b5, efcb46c710e3f56805b9257a63d1306882f4faf9
  3, square__retrofit_CVE-2018-1000850_2.4.0                                                 , CVE-2018-1000850, CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , square                , retrofit                                , 2.4.0                                         , https://github.com/square/retrofit                                , GHSA-8p8g-f9vg-r7xr, 7158698314daa138e993fac6a590ed19d78a8599, b9a7f6ad72073ddd40254c0058710e87a073047d
  4, dromara__hutool_CVE-2018-17297_4.1.11                                                   , CVE-2018-17297  , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , dromara               , hutool                                  , 4.1.11                                        , https://github.com/dromara/hutool                                 , GHSA-rhq2-2574-78mc, 7687720c5125b29386d3bb9c7c2931da79664b73, 8d7d0b7fb5ea4f7447b40131bffc1ec506a6528e
  5, vert-x3__vertx-web_CVE-2018-12542_3.5.3.CR1                                             , CVE-2018-12542  , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , vert-x3               , vertx-web                               , 3.5.3.CR1                                     , https://github.com/vert-x3/vertx-web                              , GHSA-h39x-m55c-v55h, 3fe3873cc28b4d833c90f8989ff797a7b463da2c, 57a65dce6f4c5aa5e3ce7288685e7f3447eb8f3b
  6, apache__jspwiki_CVE-2019-0225_2.11.0.M2                                                 , CVE-2019-0225   , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , apache                , jspwiki                                 , 2.11.0.M2                                     , https://github.com/apache/jspwiki                                 , GHSA-pffw-p2q5-w6vh, d48bcef107a14dd07ecd830ab817b8df796082a4, 88d89d6523802c044cfcb7930cba40d8eeb21da2
  7, wildfly__wildfly_CVE-2018-1047_11.0.0.Final                                             , CVE-2018-1047   , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , wildfly               , wildfly                                 , 11.0.0.Final                                  , https://github.com/wildfly/wildfly                                , GHSA-fmr4-w67p-vh8x, 4fd7bffaf2ee73201910684f2674aa1bced7fe81, 735c77ce8b3bab6aa5072fb8575dc96db52d01ab;21c358acf0b06f38ec46034404c7a3d0bbbc132d;9ff55ed2da845a6f604b2edd1bc3bd311f1b776c
  8, DSpace__DSpace_CVE-2016-10726_4.4                                                       , CVE-2016-10726  , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , DSpace                , DSpace                                  , 4.4                                           , https://github.com/DSpace/DSpace                                  , GHSA-4m9r-5gqp-7j82, ca4c86b1baa4e0b07975b1da86a34a6e7170b3b7, 4239abd2dd2ae0dedd7edc95a5c9f264fdcf639d
  9, apache__tika_CVE-2018-11762_1.18                                                        , CVE-2018-11762  , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , apache                , tika                                    , 1.18                                          , https://github.com/apache/tika                                    , GHSA-w6g3-v46q-5p28, 38ff2a986af24ee255f1f91d654ea402f4016696, a09d853dbed712f644e274b497cce254f3189d57;5c78eb78893fa077a4e58be4484eab4717667d52
 10, codehaus-plexus__plexus-archiver_CVE-2018-1002200_3.5                                   , CVE-2018-1002200, CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , codehaus-plexus       , plexus-archiver                         , 3.5                                           , https://github.com/codehaus-plexus/plexus-archiver                , GHSA-hcxq-x77q-3469, b9f9a425865eb47fb3665b3144ee4ca11f402704, f8f4233508193b70df33759ae9dc6154d69c2ea8
 11, whitesource__curekit_CVE-2022-23082_1.1.3                                               , CVE-2022-23082  , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , whitesource           , CureKit                                 , 1.1.3                                         , https://github.com/whitesource/CureKit                            , GHSA-m9vj-44f3-78xw, 7b275a67a5992165deb186b2b3f7764ddd062d26, af35e870ed09411d2f1fae6db1b04598cd1a31b6
 12, zeroturnaround__zt-zip_CVE-2018-1002201_1.12                                            , CVE-2018-1002201, CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , zeroturnaround        , zt-zip                                  , 1.12                                          , https://github.com/zeroturnaround/zt-zip                          , GHSA-qcf3-9vmh-xw4r, bd3f3d77f3709f901fd5180a493ef32e4dfebfa6, 759b72f33bc8f4d69f84f09fcb7f010ad45d6fff
 13, jlangch__venice_CVE-2022-36007_1.10.16                                                  , CVE-2022-36007  , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , jlangch               , venice                                  , 1.10.16                                       , https://github.com/jlangch/venice                                 , GHSA-4mmh-5vw7-rgvj, 9306c93686100a6bc52ad0c8cb617ed199b5f75c, 215ae91bb964013b0a2d70718a692832d561ae0a;c942c73136333bc493050910f171a48e6f575b23
 14, srikanth-lingala__zip4j_CVE-2018-1002202_1.3.2                                          , CVE-2018-1002202, CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , srikanth-lingala      , zip4j                                   , 1.3.2                                         , https://github.com/iris-sast/zip4j                                , GHSA-2rpm-4x8c-pvqg, d87ffa2d64ffb3a0a1cf0c7a69c7b19d7015bfde, 59aeea594ff885e06c25751dc6334dfea1bed8c6
 15, testng-team__testng_CVE-2022-4065_7.5                                                   , CVE-2022-4065   , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , cbeust                , testng                                  , 7.5                                           , https://github.com/cbeust/testng                                  , GHSA-rc2q-x9mf-w3vf, d8adcef70a9e0b8fcef5eab92ca87a8d398cfb89, 9150736cd2c123a6a3b60e6193630859f9f0422b
 16, asf__tapestry-5_CVE-2019-0207_5.4.4                                                     , CVE-2019-0207   , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , apache                , tapestry-5                              , 5.4.4                                         , https://github.com/apache/tapestry-5                              , GHSA-89r3-rcpj-h7w6, d29cc6778eb0c75e45139274005bba1c4f58907f, 6dd7219fd4707467a36091e2f7f5f6460c619099
 17, asf__commons-io_CVE-2021-29425_2.6                                                      , CVE-2021-29425  , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , apache                , commons-io                              , 2.6                                           , https://github.com/apache/commons-io                              , GHSA-gwrp-pvrq-jmwv, 2ae025fe5c4a7d2046c53072b0898e37a079fe62, fe7543eee5cd4b2f9e78aa44c31031b68eba204d
 18, diffplug__goomph_CVE-2022-26049_3.37.1                                                  , CVE-2022-26049  , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , diffplug              , goomph                                  , 3.37.1                                        , https://github.com/diffplug/goomph                                , GHSA-p2f7-9cv7-jjf6, fe2083196f0d0a75885aea402baaa972254173d5, 25f04f67ba62d9a14104bee13a0a0f2517afb8c8
 19, ESAPI__esapi-java-legacy_CVE-2022-23457_2.2.3.1                                         , CVE-2022-23457  , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , ESAPI                 , esapi-java-legacy                       , 2.2.3.1                                       , https://github.com/ESAPI/esapi-java-legacy                        , GHSA-8m5h-hrqm-pxm2, 2e8694c6beb3bdbb2645b882eba72ce41bc63242, a0d67b75593878b1b6e39e2acc1773b3effedb2a
 20, alibaba__one-java-agent_CVE-2022-25842_0.0.1                                            , CVE-2022-25842  , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , alibaba               , one-java-agent                          , 0.0.1                                         , https://github.com/alibaba/one-java-agent                         , GHSA-9hr3-j9mc-xmq2, b911af2bb779917c84a016350700745dc31c642a, 359603b63fc6c59d8b57e061c171954bab3433bf;e0149bb36488fede2a12cb1ab3c2095e56dd7571
 21, joniles__mpxj_CVE-2020-35460_8.3.4                                                      , CVE-2020-35460  , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , joniles               , mpxj                                    , 8.3.4                                         , https://github.com/joniles/mpxj                                   , GHSA-p9j6-4pjr-gp48, 87ea0ba33e901b87c95a18e3703ac51b59e2ee04, 8eaf4225048ea5ba7e59ef4556dab2098fcc4a1d
