CVE ID,CWE ID,Success,Query ID,vuln_num_paths,vuln_num_results,vuln_recall_file,vuln_recall_method,vuln_tp_paths_file,vuln_tp_results_file,vuln_tp_paths_method,vuln_tp_results_method,Precision,FDR,Recall,F1
CVE-2011-4367,CWE-022,FALSE,CWE-22,24,6,TRUE,TRUE,5,2,5,2,0.3333333333,0.6666666667,1,0.5
CVE-2014-7816,CWE-022,FALSE,CWE-22,5,4,TRUE,TRUE,4,1,1,1,0.25,0.75,1,0.4
CVE-2016-9177,CWE-022,FALSE,CWE-22,35,12,TRUE,TRUE,29,9,24,6,0.5,0.5,1,0.6666666667
CVE-2018-1000850,CWE-022,FALSE,CWE-22,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2018-1002200,CWE-022,FALSE,CWE-22,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2018-1002201,CWE-022,FALSE,CWE-22,8,5,TRUE,TRUE,4,3,2,2,0.4,0.6,1,0.5714285714
CVE-2018-1002202,CWE-022,FALSE,CWE-22,16,6,TRUE,FALSE,6,2,0,0,0,1,0,0
CVE-2018-1047,CWE-022,FALSE,CWE-22,70,29,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2018-11762,CWE-022,FALSE,CWE-22,184,86,TRUE,TRUE,38,31,27,20,0.2325581395,0.7674418605,1,0.3773584906
CVE-2018-12036,CWE-022,FALSE,CWE-22,147,45,TRUE,TRUE,7,4,2,2,0.04444444444,0.9555555556,1,0.08510638298
CVE-2018-12542,CWE-022,FALSE,CWE-22,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2018-17297,CWE-022,FALSE,CWE-22,70,22,TRUE,TRUE,4,3,2,2,0.09090909091,0.9090909091,1,0.1666666667
CVE-2018-9159,CWE-022,FALSE,CWE-22,36,13,TRUE,TRUE,12,3,12,3,0.2307692308,0.7692307692,1,0.375
CVE-2019-0207,CWE-022,FALSE,CWE-22,40,26,TRUE,TRUE,5,2,5,2,0.07692307692,0.9230769231,1,0.1428571429
CVE-2019-0225,CWE-022,FALSE,CWE-22,129,45,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2019-17572,CWE-022,FALSE,CWE-22,127,37,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2019-17640,CWE-022,FALSE,CWE-22,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2020-17519,CWE-022,FALSE,CWE-22,238,132,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2020-35460,CWE-022,FALSE,CWE-22,41,22,TRUE,TRUE,1,1,1,1,0.04545454545,0.9545454545,1,0.08695652174
CVE-2020-5405,CWE-022,FALSE,CWE-22,16,4,TRUE,FALSE,16,4,0,0,0,1,0,0
CVE-2020-5410,CWE-022,FALSE,CWE-22,16,4,TRUE,TRUE,8,4,8,4,1,0,1,1
CVE-2020-8570,CWE-022,FALSE,CWE-22,21,12,TRUE,TRUE,1,1,1,1,0.08333333333,0.9166666667,1,0.1538461538
CVE-2021-29425,CWE-022,FALSE,CWE-22,5,5,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-22931,CWE-022,FALSE,CWE-22,58,26,TRUE,FALSE,24,9,0,0,0,1,0,0
CVE-2022-23082,CWE-022,FALSE,CWE-22,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-23457,CWE-022,FALSE,CWE-22,81,33,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-25842,CWE-022,FALSE,CWE-22,10,7,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-26049,CWE-022,FALSE,CWE-22,155,53,TRUE,TRUE,3,1,3,1,0.01886792453,0.9811320755,1,0.03703703704
CVE-2022-26884,CWE-022,FALSE,CWE-22,22,15,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-31194,CWE-022,FALSE,CWE-22,671,290,TRUE,TRUE,66,20,47,13,0.04482758621,0.9551724138,1,0.08580858086
CVE-2022-31195,CWE-022,FALSE,CWE-22,671,290,TRUE,TRUE,119,57,63,22,0.07586206897,0.924137931,1,0.141025641
CVE-2022-32287,CWE-022,FALSE,CWE-22,321,166,TRUE,TRUE,63,23,60,21,0.1265060241,0.8734939759,1,0.2245989305
CVE-2022-34662,CWE-022,FALSE,CWE-22,33,17,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-36007,CWE-022,FALSE,CWE-22,24,18,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-3782,CWE-022,FALSE,CWE-22,283,143,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-4244,CWE-022,FALSE,CWE-22,16,8,TRUE,TRUE,4,1,4,1,0.125,0.875,1,0.2222222222
CVE-2023-34478,CWE-022,FALSE,CWE-22,2,2,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2023-35887,CWE-022,FALSE,CWE-22,72,23,TRUE,TRUE,28,9,17,6,0.2608695652,0.7391304348,1,0.4137931034
CVE-2023-37460,CWE-022,FALSE,CWE-22,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2023-41044,CWE-022,FALSE,CWE-22,44,27,TRUE,TRUE,1,1,1,1,0.03703703704,0.962962963,1,0.07142857143
CVE-2023-45277,CWE-022,FALSE,CWE-22,197,69,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2023-45278,CWE-022,FALSE,CWE-22,197,69,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2023-46749,CWE-022,FALSE,CWE-22,2,2,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2024-23673,CWE-022,FALSE,CWE-22,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-0851,CWE-022,FALSE,ZipSlip,6,2,TRUE,TRUE,6,2,6,2,1,0,1,1
CVE-2025-46096,CWE-022,FALSE,TaintedPath,48,12,TRUE,TRUE,8,2,8,2,0.1666666667,0.8333333333,1,0.2857142857
CVE-2025-49656,CWE-022,FALSE,ZipSlip,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-53622,CWE-022,FALSE,ZipSlip,4,1,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2013-7285,CWE-078,FALSE,CWE-78,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2017-1000487,CWE-078,FALSE,CWE-78,0,1,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2019-10392,CWE-078,FALSE,CWE-78,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2020-2261,CWE-078,FALSE,CWE-78,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2020-26217,CWE-078,FALSE,CWE-78,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2021-21345,CWE-078,FALSE,CWE-78,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2021-21345,CWE-078,FALSE,CWE-94,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-20617,CWE-078,FALSE,CWE-78,1,1,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-25173,CWE-078,FALSE,CWE-78,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
