CVE ID,CWE ID,Query ID,vuln_num_paths,vuln_num_results,vuln_recall_file,vuln_recall_method,vuln_tp_paths_file,vuln_tp_results_file,vuln_tp_paths_method,vuln_tp_results_method,Precision,FDR,Recall,F1
CVE-2011-4367,CWE-022,CWE-22,59,106,TRUE,TRUE,15,5,15,5,0.04716981132,0.9528301887,1,0.09009009009
CVE-2014-7816,CWE-022,CWE-22,22,58,TRUE,TRUE,4,2,4,2,0.03448275862,0.9655172414,1,0.06666666667
CVE-2016-9177,CWE-022,CWE-22,40,12,TRUE,TRUE,36,9,36,9,0.75,0.25,1,0.8571428571
CVE-2018-1000850,CWE-022,CWE-22,0,7,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2018-1002200,CWE-022,CWE-22,18,15,TRUE,TRUE,9,4,7,2,0.1333333333,0.8666666667,1,0.2352941176
CVE-2018-1002201,CWE-022,CWE-22,71,75,TRUE,TRUE,55,37,17,7,0.09333333333,0.9066666667,1,0.1707317073
CVE-2018-1002202,CWE-022,CWE-22,81,37,TRUE,TRUE,22,12,10,3,0.08108108108,0.9189189189,1,0.15
CVE-2018-1047,CWE-022,CWE-22,157,625,TRUE,FALSE,1,1,0,0,0,1,0,0
CVE-2018-11762,CWE-022,CWE-22,112,518,TRUE,TRUE,11,6,11,6,0.01158301158,0.9884169884,1,0.02290076336
CVE-2018-12036,CWE-022,CWE-22,106,169,TRUE,TRUE,26,19,9,8,0.04733727811,0.9526627219,1,0.09039548023
CVE-2018-12542,CWE-022,CWE-22,12,32,TRUE,TRUE,3,1,3,1,0.03125,0.96875,1,0.06060606061
CVE-2018-17297,CWE-022,CWE-22,181,224,TRUE,TRUE,11,4,2,2,0.008928571429,0.9910714286,1,0.01769911504
CVE-2018-9159,CWE-022,CWE-22,32,11,TRUE,TRUE,20,6,20,6,0.5454545455,0.4545454545,1,0.7058823529
CVE-2019-0207,CWE-022,CWE-22,31,130,TRUE,TRUE,8,4,4,4,0.03076923077,0.9692307692,1,0.05970149254
CVE-2019-0225,CWE-022,CWE-22,15,158,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2019-17572,CWE-022,CWE-22,29,139,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2019-17640,CWE-022,CWE-22,15,37,TRUE,TRUE,2,1,2,1,0.02702702703,0.972972973,1,0.05263157895
CVE-2020-17519,CWE-022,CWE-22,106,327,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2020-35460,CWE-022,CWE-22,23,43,TRUE,TRUE,4,3,4,3,0.06976744186,0.9302325581,1,0.1304347826
CVE-2020-5405,CWE-022,CWE-22,38,21,TRUE,TRUE,10,8,4,4,0.1904761905,0.8095238095,1,0.32
CVE-2020-5410,CWE-022,CWE-22,28,21,TRUE,TRUE,2,2,2,2,0.09523809524,0.9047619048,1,0.1739130435
CVE-2020-8570,CWE-022,CWE-22,3,80,TRUE,TRUE,3,3,3,3,0.0375,0.9625,1,0.07228915663
CVE-2021-29425,CWE-022,CWE-22,71,65,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-22931,CWE-022,CWE-22,143,587,TRUE,FALSE,47,33,0,0,0,1,0,0
CVE-2022-23082,CWE-022,CWE-22,0,2,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-23457,CWE-022,CWE-22,15,59,TRUE,FALSE,2,2,0,0,0,1,0,0
CVE-2022-25842,CWE-022,CWE-22,5,32,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-26049,CWE-022,CWE-22,110,159,TRUE,TRUE,8,7,4,3,0.01886792453,0.9811320755,1,0.03703703704
CVE-2022-26884,CWE-022,CWE-22,117,97,TRUE,FALSE,5,5,0,0,0,1,0,0
CVE-2022-31194,CWE-022,CWE-22,3,822,TRUE,TRUE,3,3,3,3,0.003649635036,0.996350365,1,0.007272727273
CVE-2022-31195,CWE-022,CWE-22,7,822,TRUE,TRUE,7,7,7,7,0.008515815085,0.9914841849,1,0.01688781665
CVE-2022-32287,CWE-022,CWE-22,50,684,TRUE,TRUE,50,19,50,19,0.02777777778,0.9722222222,1,0.05405405405
CVE-2022-34662,CWE-022,CWE-22,102,91,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-36007,CWE-022,CWE-22,69,82,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-3782,CWE-022,CWE-22,84,731,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-4244,CWE-022,CWE-22,81,68,TRUE,TRUE,13,5,12,4,0.05882352941,0.9411764706,1,0.1111111111
CVE-2023-34478,CWE-022,CWE-22,6,11,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2023-35887,CWE-022,CWE-22,55,159,TRUE,TRUE,21,8,8,4,0.0251572327,0.9748427673,1,0.0490797546
CVE-2023-37460,CWE-022,CWE-22,32,23,TRUE,TRUE,11,5,9,3,0.1304347826,0.8695652174,1,0.2307692308
CVE-2023-41044,CWE-022,CWE-22,5,57,TRUE,FALSE,3,2,0,0,0,1,0,0
CVE-2023-45277,CWE-022,CWE-22,2,131,TRUE,TRUE,2,1,2,1,0.007633587786,0.9923664122,1,0.01515151515
CVE-2023-45278,CWE-022,CWE-22,63,134,TRUE,TRUE,2,2,1,1,0.007462686567,0.9925373134,1,0.01481481481
CVE-2023-46749,CWE-022,CWE-22,7,11,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2024-23673,CWE-022,CWE-22,53,25,TRUE,TRUE,16,10,7,5,0.2,0.8,1,0.3333333333
CVE-2025-0851,CWE-022,CWE-22,227,282,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-27526,CWE-022,CWE-22,191,153,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-32961,CWE-022,CWE-22,89,443,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-49656,CWE-022,CWE-022,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-53622,CWE-022,CWE-022,89,443,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2013-7285,CWE-078,CWE-78,18,36,TRUE,FALSE,3,2,0,0,0,1,0,0
CVE-2017-1000487,CWE-078,CWE-78,12,14,TRUE,TRUE,8,2,8,2,0.1428571429,0.8571428571,1,0.25
CVE-2019-10392,CWE-078,CWE-78,7,45,TRUE,FALSE,7,4,0,0,0,1,0,0
CVE-2020-2261,CWE-078,CWE-78,2,5,TRUE,TRUE,2,2,2,2,0.4,0.6,1,0.5714285714
CVE-2020-26217,CWE-078,CWE-78,14,36,TRUE,FALSE,4,1,0,0,0,1,0,0
CVE-2021-21345,CWE-078,CWE-78,14,36,TRUE,FALSE,2,1,0,0,0,1,0,0
CVE-2022-20617,CWE-078,CWE-78,0,5,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-25173,CWE-078,CWE-78,1,12,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-25174,CWE-078,CWE-78,0,3,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-25175,CWE-078,CWE-78,0,14,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2023-24422,CWE-078,CWE-78,2,8,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-46558,CWE-078,CWE-078,34,29,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2014-3656,CWE-079,CWE-79,55,260,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2016-10006,CWE-079,CWE-79,20,32,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2016-5394,CWE-079,CWE-79,1,3,TRUE,FALSE,1,1,0,0,0,1,0,0
CVE-2016-6812,CWE-079,CWE-79,12,2874,TRUE,TRUE,12,6,12,6,0.002087682672,0.9979123173,1,0.004166666667
CVE-2017-14735,CWE-079,CWE-79,17,32,TRUE,TRUE,14,9,2,1,0.03125,0.96875,1,0.06060606061
CVE-2018-1000129,CWE-079,CWE-79,133,161,TRUE,TRUE,14,9,7,4,0.0248447205,0.9751552795,1,0.04848484848
CVE-2019-10076,CWE-079,CWE-79,169,459,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2019-10077,CWE-079,CWE-79,176,456,TRUE,TRUE,27,18,1,1,0.002192982456,0.9978070175,1,0.004376367615
CVE-2019-10078,CWE-079,CWE-79,204,459,TRUE,TRUE,2,2,2,2,0.004357298475,0.9956427015,1,0.008676789588
CVE-2019-10089,CWE-079,CWE-79,142,462,TRUE,FALSE,1,1,0,0,0,1,0,0
CVE-2019-10219,CWE-079,CWE-79,6,121,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2019-17573,CWE-079,CWE-79,4,3589,TRUE,TRUE,4,2,4,2,0.0005572582892,0.9994427417,1,0.001113895851
CVE-2020-13973,CWE-079,CWE-79,4,10,TRUE,FALSE,4,2,0,0,0,1,0,0
CVE-2020-27219,CWE-079,CWE-79,49,119,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2020-29204,CWE-079,CWE-79,7,131,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2021-44667,CWE-079,CWE-79,77,615,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-1274,CWE-079,CWE-79,5,3355,TRUE,TRUE,5,4,5,4,0.001192250373,0.9988077496,1,0.002381661209
CVE-2022-24891,CWE-079,CWE-79,15,133,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-28367,CWE-079,CWE-79,16,37,TRUE,FALSE,6,6,0,0,0,1,0,0
CVE-2022-29577,CWE-079,CWE-79,31,37,TRUE,TRUE,9,7,2,1,0.02702702703,0.972972973,1,0.05263157895
CVE-2022-31192,CWE-079,CWE-79,2,1958,TRUE,TRUE,2,1,2,1,0.0005107252298,0.9994892748,1,0.001020929045
CVE-2022-4361,CWE-079,CWE-79,13,3496,TRUE,TRUE,13,11,13,11,0.003146453089,0.9968535469,1,0.00627316795
CVE-2022-46907,CWE-079,CWE-79,356,614,TRUE,TRUE,33,22,33,22,0.03583061889,0.9641693811,1,0.06918238994
CVE-2023-29201,CWE-079,CWE-79,54,322,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2023-29528,CWE-079,CWE-79,64,336,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2023-31126,CWE-079,CWE-79,70,334,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2023-33962,CWE-079,CWE-79,4,35,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2023-36471,CWE-079,CWE-79,41,266,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2023-37908,CWE-079,CWE-79,294,220,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-27136,CWE-079,CWE-79,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-27522,CWE-079,CWE-79,1,6,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-27531,CWE-079,CWE-79,31,29,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-30067,CWE-079,CWE-79,3,6,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-47293,CWE-079,CWE-079,11,369,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-47885,CWE-079,CWE-079,3,6,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2023-32070,CWE-083,CWE-79,270,120,TRUE,TRUE,60,15,36,9,0.075,0.925,1,0.1395348837
CVE-2018-1260,CWE-094,CWE-94,53,116,FALSE,FALSE,0,0,0,0,0,1,0,0
