CVE ID,CWE ID,Success,Compilation Success,Iteration Count,vuln_num_results,vuln_num_paths,vuln_recall_file,vuln_recall_method,vuln_tp_paths_file,vuln_tp_results_file,vuln_tp_paths_method,vuln_tp_results_method,fixed_num_paths,fixed_num_results,fixed_recall_file,fixed_recall_method,fixed_tp_paths_file,fixed_tp_results_file,fixed_tp_paths_method,fixed_tp_results_method,Precision,FDR,Recall,F1
CVE-2025-22233,CWE-020,TRUE,TRUE,3,2,6,TRUE,TRUE,6,2,2,1,4,1,TRUE,FALSE,4,1,0,0,0.5,0.5,1,0.6666666667
CVE-2025-24970,CWE-020,TRUE,TRUE,4,5,14,TRUE,TRUE,10,4,10,4,4,1,FALSE,FALSE,0,0,0,0,0.8,0.2,1,0.8888888889
CVE-2011-4367,CWE-022,FALSE,TRUE,1,3,12,TRUE,TRUE,12,3,12,3,31,8,TRUE,TRUE,31,8,31,8,1,0,1,1
CVE-2014-7816,CWE-022,FALSE,TRUE,9,10,25,TRUE,TRUE,15,6,5,2,22,8,TRUE,TRUE,12,5,2,1,0.2,0.8,1,0.3333333333
CVE-2016-9177,CWE-022,FALSE,TRUE,7,4,16,TRUE,TRUE,14,4,13,4,8,2,TRUE,TRUE,6,2,4,1,1,0,1,1
CVE-2018-1000850,CWE-022,TRUE,TRUE,2,1,1,TRUE,TRUE,1,1,1,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2018-1002200,CWE-022,TRUE,TRUE,3,1,1,TRUE,TRUE,1,1,1,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2018-1002201,CWE-022,TRUE,TRUE,10,9,11,TRUE,TRUE,8,6,4,3,4,4,FALSE,FALSE,0,0,0,0,0.3333333333,0.6666666667,1,0.5
CVE-2018-1002202,CWE-022,TRUE,TRUE,3,5,5,TRUE,TRUE,3,3,1,1,4,4,TRUE,FALSE,2,2,0,0,0.2,0.8,1,0.3333333333
CVE-2018-1047,CWE-022,FALSE,TRUE,9,1,2,TRUE,TRUE,2,1,2,1,2,1,TRUE,TRUE,2,1,2,1,1,0,1,1
CVE-2018-11762,CWE-022,FALSE,TRUE,7,3,7,TRUE,TRUE,7,3,7,3,15,5,TRUE,TRUE,15,5,15,5,1,0,1,1
CVE-2018-12036,CWE-022,FALSE,TRUE,8,21,17,TRUE,TRUE,17,16,14,13,2,7,TRUE,TRUE,2,2,2,2,0.619047619,0.380952381,1,0.7647058824
