CVE ID,CWE ID,Success,Iteration Count,vuln_num_paths,vuln_num_results,vuln_recall_file,vuln_recall_method,vuln_tp_paths_file,vuln_tp_results_file,vuln_tp_paths_method,vuln_tp_results_method,fixed_num_paths,fixed_num_results,fixed_recall_file,fixed_recall_method,fixed_tp_paths_file,fixed_tp_results_file,fixed_tp_paths_method,fixed_tp_results_method,Precision,FDR,Recall,F1
CVE-2025-24399,CWE-178,FALSE,4,60,27,TRUE,FALSE,35,16,0,0,60,27,TRUE,FALSE,35,16,0,0,0,1,0,0
CVE-2025-52520,CWE-190,FALSE,9,4,1,TRUE,TRUE,4,1,4,1,4,1,TRUE,TRUE,4,1,4,1,1,0,1,1
CVE-2025-22227,CWE-200,FALSE,3,1,1,TRUE,FALSE,1,1,0,0,1,1,TRUE,FALSE,1,1,0,0,0,1,0,0
CVE-2025-0851,CWE-22,FALSE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-49656,CWE-22,FALSE,7,246,100,TRUE,TRUE,14,8,10,4,246,100,TRUE,TRUE,14,8,10,4,0.04,0.96,1,0.07692307692
CVE-2025-53622,CWE-22,FALSE,3,179,65,TRUE,TRUE,108,32,10,5,185,67,TRUE,TRUE,114,34,16,7,0.07692307692,0.9230769231,1,0.1428571429
CVE-2025-1584,CWE-23,FALSE,8,9,4,TRUE,TRUE,8,3,8,3,5,2,TRUE,TRUE,4,1,4,1,0.75,0.25,1,0.8571428571
CVE-2025-24790,CWE-276,FALSE,3,10,3,TRUE,TRUE,10,3,10,3,12,4,TRUE,TRUE,12,4,12,4,1,0,1,1
CVE-2025-1391,CWE-284,FALSE,9,9,3,TRUE,FALSE,9,3,0,0,13,4,TRUE,TRUE,13,4,4,1,0,1,0,0
CVE-2025-48734,CWE-284,FALSE,6,6,5,TRUE,FALSE,1,1,0,0,6,5,TRUE,FALSE,1,1,0,0,0,1,0,0
CVE-2025-0604,CWE-287,FALSE,9,115,59,FALSE,FALSE,0,0,0,0,115,59,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-3910,CWE-287,FALSE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-22223,CWE-290,FALSE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-53103,CWE-312,FALSE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-27508,CWE-327,FALSE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-7365,CWE-346,FALSE,9,13,4,TRUE,TRUE,13,4,13,4,15,5,TRUE,TRUE,15,5,15,5,1,0,1,1
CVE-2025-53506,CWE-400,FALSE,6,6,5,TRUE,TRUE,6,4,6,4,1,1,TRUE,TRUE,0,1,0,1,0.8,0.2,1,0.8888888889
CVE-2025-27522,CWE-502,FALSE,10,28,8,TRUE,TRUE,28,7,28,7,20,6,TRUE,TRUE,20,5,20,5,0.875,0.125,1,0.9333333333
CVE-2025-47771,CWE-502,FALSE,4,494,202,TRUE,FALSE,1,1,0,0,494,202,TRUE,FALSE,1,1,0,0,0,1,0,0
CVE-2025-27496,CWE-532,FALSE,7,103,57,TRUE,TRUE,103,41,14,5,103,57,TRUE,TRUE,103,41,14,5,0.08771929825,0.9122807018,1,0.1612903226
CVE-2025-48955,CWE-532,FALSE,10,2,1,TRUE,TRUE,2,1,2,1,2,1,TRUE,TRUE,2,1,2,1,1,0,1,1
CVE-2025-49009,CWE-532,FALSE,5,155,40,TRUE,TRUE,8,2,8,2,155,40,TRUE,TRUE,8,2,8,2,0.05,0.95,1,0.09523809524
CVE-2025-4641,CWE-611,FALSE,8,76,22,TRUE,FALSE,58,19,0,0,76,22,TRUE,FALSE,58,19,0,0,0,1,0,0
CVE-2025-52888,CWE-611,TRUE,5,12,3,TRUE,TRUE,12,3,12,3,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2025-53621,CWE-611,TRUE,3,48,48,TRUE,TRUE,36,27,18,16,10,13,TRUE,FALSE,2,2,0,0,0.3333333333,0.6666666667,1,0.5
CVE-2025-48976,CWE-770,FALSE,4,4,2,TRUE,TRUE,4,1,4,1,4,2,TRUE,TRUE,4,1,4,1,0.5,0.5,1,0.6666666667
CVE-2025-48988,CWE-770,FALSE,10,8,2,TRUE,TRUE,8,2,8,2,8,2,TRUE,TRUE,8,2,8,2,1,0,1,1
CVE-2025-26074,CWE-78,FALSE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-23026,CWE-79,FALSE,9,16,4,TRUE,TRUE,16,4,16,4,16,4,TRUE,TRUE,16,4,16,4,1,0,1,1
CVE-2025-46558,CWE-79,FALSE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-27497,CWE-835,FALSE,7,2094,790,TRUE,TRUE,1,1,1,1,2094,790,TRUE,TRUE,1,1,1,1,0.001265822785,0.9987341772,1,0.002528445006
CVE-2025-27427,CWE-863,FALSE,10,498,159,TRUE,TRUE,58,21,37,16,498,159,TRUE,TRUE,58,21,37,16,0.1006289308,0.8993710692,1,0.1828571429
CVE-2025-30067,CWE-94,FALSE,7,1098,337,TRUE,FALSE,479,126,0,0,1098,337,TRUE,FALSE,479,126,0,0,0,1,0,0
