CVE ID,CWE ID,Success,Compilation Success,Iteration Count,vuln_num_paths,vuln_num_results,vuln_recall_file,vuln_recall_method,vuln_tp_paths_file,vuln_tp_results_file,vuln_tp_paths_method,vuln_tp_results_method,fixed_num_paths,fixed_num_results,fixed_recall_file,fixed_recall_method,fixed_tp_paths_file,fixed_tp_results_file,fixed_tp_paths_method,fixed_tp_results_method,Precision,FDR,Recall,F1
CVE-2025-52520,CWE-190,FALSE,TRUE,9,276,69,TRUE,TRUE,33,14,16,4,276,69,TRUE,TRUE,33,14,16,4,0.05797101449,0.9420289855,1,0.1095890411
CVE-2025-22227,CWE-200,FALSE,TRUE,8,10,10,TRUE,TRUE,0,10,0,10,10,10,TRUE,TRUE,0,10,0,10,1,0,1,1
CVE-2025-49656,CWE-22,FALSE,TRUE,9,34,11,TRUE,TRUE,33,11,10,3,32,9,TRUE,TRUE,31,9,10,3,0.2727272727,0.7272727273,1,0.4285714286
CVE-2025-53622,CWE-22,TRUE,TRUE,7,226,109,TRUE,TRUE,106,35,63,21,0,0,FALSE,FALSE,0,0,0,0,0.1926605505,0.8073394495,1,0.3230769231
CVE-2025-1584,CWE-23,TRUE,TRUE,1,4,2,TRUE,TRUE,4,2,4,2,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2025-1391,CWE-284,FALSE,TRUE,9,1,1,TRUE,TRUE,1,1,1,1,1,1,TRUE,TRUE,1,1,1,1,1,0,1,1
CVE-2025-48734,CWE-284,FALSE,TRUE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-0604,CWE-287,TRUE,TRUE,1,54,14,TRUE,TRUE,37,10,4,1,50,13,TRUE,FALSE,33,9,0,0,0.07142857143,0.9285714286,1,0.1333333333
CVE-2025-22223,CWE-290,FALSE,TRUE,10,17,8,TRUE,TRUE,8,3,6,2,17,8,TRUE,TRUE,8,3,6,2,0.25,0.75,1,0.4
CVE-2025-53103,CWE-312,FALSE,TRUE,5,2,2,TRUE,TRUE,1,1,1,1,2,2,TRUE,TRUE,1,1,1,1,0.5,0.5,1,0.6666666667
CVE-2025-53506,CWE-400,FALSE,TRUE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-47771,CWE-502,TRUE,TRUE,3,1,1,TRUE,TRUE,1,1,1,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2025-48955,CWE-532,FALSE,TRUE,10,36,10,TRUE,TRUE,6,2,1,1,36,10,TRUE,TRUE,6,2,1,1,0.1,0.9,1,0.1818181818
CVE-2025-49009,CWE-532,TRUE,TRUE,2,72,19,TRUE,TRUE,8,3,4,1,68,18,TRUE,FALSE,4,2,0,0,0.05263157895,0.9473684211,1,0.1
CVE-2025-4641,CWE-611,FALSE,TRUE,8,85,30,TRUE,FALSE,40,21,0,0,85,30,TRUE,FALSE,40,21,0,0,0,1,0,0
CVE-2025-52888,CWE-611,FALSE,TRUE,8,12,3,TRUE,TRUE,12,3,12,3,12,3,TRUE,TRUE,12,3,12,3,1,0,1,1
CVE-2025-53621,CWE-611,FALSE,TRUE,9,50,29,TRUE,TRUE,32,16,12,6,50,29,TRUE,TRUE,32,16,12,6,0.2068965517,0.7931034483,1,0.3428571429
CVE-2025-48976,CWE-770,FALSE,TRUE,10,1,2,TRUE,TRUE,1,1,1,1,1,2,TRUE,TRUE,1,1,1,1,0.5,0.5,1,0.6666666667
CVE-2025-48988,CWE-770,FALSE,TRUE,5,120,30,TRUE,TRUE,120,30,120,30,120,30,TRUE,TRUE,120,30,120,30,1,0,1,1
CVE-2025-46558,CWE-79,FALSE,TRUE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
