CVE ID,CWE ID,Success,Compilation Success,Iteration Count,vuln_num_paths,vuln_num_results,vuln_recall_file,vuln_recall_method,vuln_tp_paths_file,vuln_tp_results_file,vuln_tp_paths_method,vuln_tp_results_method,fixed_num_paths,fixed_num_results,fixed_recall_file,fixed_recall_method,fixed_tp_paths_file,fixed_tp_results_file,fixed_tp_paths_method,fixed_tp_results_method,Precision,FDR,Recall,F1
CVE-2025-52520,CWE-190,FALSE,TRUE,5,119,35,TRUE,TRUE,4,1,4,1,119,35,TRUE,TRUE,4,1,4,1,0.02857142857,0.9714285714,1,0.05555555556
CVE-2025-22227,CWE-200,FALSE,TRUE,3,4,3,TRUE,FALSE,1,1,0,0,4,3,TRUE,FALSE,1,1,0,0,0,1,0,0
CVE-2025-49656,CWE-22,FALSE,TRUE,6,13,4,TRUE,TRUE,8,2,8,2,10,4,TRUE,TRUE,5,2,5,2,0.5,0.5,1,0.6666666667
CVE-2025-53622,CWE-22,FALSE,TRUE,6,7,3,TRUE,TRUE,7,3,7,3,7,3,TRUE,TRUE,7,3,7,3,1,0,1,1
CVE-2025-1584,CWE-23,FALSE,TRUE,10,49,20,TRUE,TRUE,12,4,12,4,41,17,TRUE,TRUE,4,1,4,1,0.2,0.8,1,0.3333333333
CVE-2025-1391,CWE-284,FALSE,TRUE,9,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-48734,CWE-284,FALSE,TRUE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-0604,CWE-287,FALSE,TRUE,3,385,105,TRUE,TRUE,38,21,35,21,385,105,TRUE,TRUE,38,21,35,21,0.2,0.8,1,0.3333333333
CVE-2025-22223,CWE-290,FALSE,TRUE,3,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-53103,CWE-312,FALSE,TRUE,9,8,2,FALSE,FALSE,0,0,0,0,8,2,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-53506,CWE-400,FALSE,TRUE,3,15,6,TRUE,TRUE,15,6,12,3,15,6,TRUE,TRUE,15,6,12,3,0.5,0.5,1,0.6666666667
CVE-2025-47771,CWE-502,FALSE,TRUE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-48955,CWE-532,TRUE,TRUE,1,1,1,TRUE,TRUE,0,1,0,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2025-49009,CWE-532,TRUE,TRUE,2,101,30,TRUE,TRUE,4,1,4,1,97,29,FALSE,FALSE,0,0,0,0,0.03333333333,0.9666666667,1,0.06451612903
CVE-2025-4641,CWE-611,TRUE,TRUE,3,3,1,TRUE,TRUE,3,1,3,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2025-52888,CWE-611,TRUE,TRUE,2,3,3,TRUE,TRUE,3,3,3,3,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2025-53621,CWE-611,FALSE,TRUE,3,86,40,TRUE,FALSE,16,8,0,0,86,40,TRUE,FALSE,16,8,0,0,0,1,0,0
CVE-2025-48976,CWE-770,FALSE,TRUE,1,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-48988,CWE-770,FALSE,TRUE,10,22,6,TRUE,FALSE,20,5,0,0,22,6,TRUE,FALSE,20,5,0,0,0,1,0,0
CVE-2025-46558,CWE-79,FALSE,TRUE,9,17,6,TRUE,TRUE,17,6,17,6,8,3,TRUE,TRUE,8,3,8,3,1,0,1,1
