CVE ID,CWE ID,Success,Compilation Success,Iteration Count,vuln_num_paths,vuln_num_results,vuln_recall_file,vuln_recall_method,vuln_tp_paths_file,vuln_tp_results_file,vuln_tp_paths_method,vuln_tp_results_method,fixed_num_paths,fixed_num_results,fixed_recall_file,fixed_recall_method,fixed_tp_paths_file,fixed_tp_results_file,fixed_tp_paths_method,fixed_tp_results_method,Precision,FDR,Recall,F1
CVE-2025-52520,CWE-190,TRUE,TRUE,2,1,1,TRUE,TRUE,0,1,0,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2025-22227,CWE-200,FALSE,TRUE,7,1999,1046,TRUE,TRUE,566,171,16,6,1999,1050,TRUE,TRUE,566,171,16,6,0.005736137667,0.9942638623,1,0.01140684411
CVE-2025-49656,CWE-22,FALSE,TRUE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-53622,CWE-22,FALSE,FALSE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-1584,CWE-23,FALSE,TRUE,9,151,55,TRUE,TRUE,51,13,51,13,127,49,TRUE,TRUE,7,2,7,2,0.2363636364,0.7636363636,1,0.3823529412
CVE-2025-1391,CWE-284,TRUE,TRUE,4,20,5,TRUE,TRUE,20,5,4,1,16,4,TRUE,FALSE,16,4,0,0,0.2,0.8,1,0.3333333333
CVE-2025-48734,CWE-284,FALSE,TRUE,3,4,1,TRUE,FALSE,1,1,0,0,4,1,TRUE,FALSE,1,1,0,0,0,1,0,0
CVE-2025-0604,CWE-287,FALSE,FALSE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-22223,CWE-290,TRUE,TRUE,2,4,3,TRUE,TRUE,4,3,1,1,3,2,TRUE,FALSE,3,2,0,0,0.3333333333,0.6666666667,1,0.5
CVE-2025-53103,CWE-312,FALSE,FALSE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-53506,CWE-400,FALSE,TRUE,10,12,7,TRUE,TRUE,8,2,4,1,16,8,TRUE,TRUE,12,3,8,2,0.1428571429,0.8571428571,1,0.25
CVE-2025-47771,CWE-502,TRUE,TRUE,4,1,1,TRUE,TRUE,1,1,1,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2025-48955,CWE-532,FALSE,TRUE,9,20,5,TRUE,FALSE,8,2,0,0,20,5,TRUE,FALSE,8,2,0,0,0,1,0,0
CVE-2025-49009,CWE-532,FALSE,TRUE,4,250,77,TRUE,FALSE,2,1,0,0,250,77,TRUE,FALSE,2,1,0,0,0,1,0,0
CVE-2025-4641,CWE-611,TRUE,TRUE,4,4,1,TRUE,TRUE,4,1,4,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2025-52888,CWE-611,FALSE,TRUE,9,3,3,TRUE,TRUE,3,3,3,3,3,3,TRUE,TRUE,3,3,3,3,1,0,1,1
CVE-2025-53621,CWE-611,FALSE,FALSE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-48976,CWE-770,FALSE,TRUE,8,10,4,TRUE,FALSE,1,1,0,0,10,4,TRUE,FALSE,1,1,0,0,0,1,0,0
CVE-2025-48988,CWE-770,FALSE,TRUE,6,1,1,TRUE,TRUE,1,1,1,1,1,1,TRUE,TRUE,1,1,1,1,1,0,1,1
CVE-2025-46558,CWE-79,FALSE,TRUE,6,29,12,TRUE,TRUE,29,12,11,6,42,16,TRUE,TRUE,42,16,24,10,0.5,0.5,1,0.6666666667
