CVE ID,CWE ID,Success,Compilation Success,Iteration Count,vuln_num_paths,vuln_num_results,vuln_recall_file,vuln_recall_method,vuln_tp_paths_file,vuln_tp_results_file,vuln_tp_paths_method,vuln_tp_results_method,fixed_num_paths,fixed_num_results,fixed_recall_file,fixed_recall_method,fixed_tp_paths_file,fixed_tp_results_file,fixed_tp_paths_method,fixed_tp_results_method
CVE-2025-24399,CWE-178,FALSE,FALSE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0
CVE-2025-22227,CWE-200,TRUE,TRUE,7,1,1,TRUE,TRUE,1,1,1,1,0,0,FALSE,FALSE,0,0,0,0
CVE-2025-0851,CWE-22,FALSE,TRUE,1,4,4,TRUE,TRUE,4,4,4,4,2,2,TRUE,TRUE,2,2,2,2
CVE-2025-53622,CWE-22,FALSE,FALSE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0
CVE-2025-24790,CWE-276,FALSE,TRUE,2,17,8,TRUE,TRUE,17,8,8,2,21,9,TRUE,TRUE,21,9,12,3
CVE-2025-1391,CWE-284,FALSE,TRUE,4,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0
CVE-2025-0604,CWE-287,FALSE,TRUE,3,130,34,TRUE,TRUE,78,30,78,30,130,34,TRUE,TRUE,78,30,78,30
CVE-2025-3910,CWE-287,FALSE,TRUE,1,1,1,TRUE,TRUE,1,1,1,1,1,1,TRUE,TRUE,1,1,1,1
CVE-2025-27508,CWE-327,FALSE,TRUE,10,16,4,TRUE,FALSE,16,4,0,0,0,0,FALSE,FALSE,0,0,0,0
CVE-2025-7365,CWE-346,TRUE,TRUE,10,10,3,TRUE,TRUE,10,3,2,1,0,0,FALSE,FALSE,0,0,0,0
CVE-2025-27522,CWE-502,FALSE,FALSE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0
CVE-2025-27496,CWE-532,FALSE,FALSE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0
CVE-2025-4641,CWE-611,TRUE,TRUE,2,1,1,TRUE,TRUE,1,1,1,1,0,0,FALSE,FALSE,0,0,0,0
CVE-2025-52888,CWE-611,TRUE,TRUE,6,3,3,TRUE,TRUE,3,3,3,3,0,0,FALSE,FALSE,0,0,0,0
CVE-2025-48976,CWE-770,FALSE,TRUE,1,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0
CVE-2025-26074,CWE-78,FALSE,TRUE,1,4,1,TRUE,FALSE,4,1,0,0,4,1,TRUE,FALSE,4,1,0,0
CVE-2025-23026,CWE-79,FALSE,TRUE,1,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0
CVE-2025-27497,CWE-835,FALSE,TRUE,1,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0
CVE-2025-27427,CWE-863,FALSE,TRUE,1,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0
CVE-2025-30067,CWE-94,FALSE,TRUE,1,1,1,TRUE,FALSE,1,1,0,0,1,1,TRUE,FALSE,1,1,0,0
