CVE ID,CWE ID,Sucess,Compilation Success,Iteration Count,vuln_num_paths,vuln_num_results,vuln_recall_file,vuln_recall_method,vuln_tp_paths_file,vuln_tp_results_file,vuln_tp_paths_method,vuln_tp_results_method,fixed_num_paths,fixed_num_results,fixed_recall_file,fixed_recall_method,fixed_tp_paths_file,fixed_tp_results_file,fixed_tp_paths_method,fixed_tp_results_method,Precision,FDR,Recall,F1
CVE-2025-24399,CWE-178,FALSE,TRUE,6,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-22227,CWE-200,FALSE,TRUE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-0851,CWE-22,FALSE,FALSE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-53622,CWE-22,FALSE,TRUE,8,2,1,TRUE,TRUE,2,1,2,1,2,1,TRUE,TRUE,2,1,2,1,1,0,1,1
CVE-2025-24790,CWE-276,FALSE,TRUE,7,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-1391,CWE-284,FALSE,FALSE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-0604,CWE-287,FALSE,TRUE,7,42,11,TRUE,TRUE,42,11,7,5,42,11,TRUE,TRUE,42,11,7,5,0.4545454545,0.5454545455,1,0.625
CVE-2025-3910,CWE-287,FALSE,TRUE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-27508,CWE-327,FALSE,TRUE,10,4,3,TRUE,FALSE,1,1,0,0,4,3,TRUE,FALSE,1,1,0,0,0,1,0,0
CVE-2025-7365,CWE-346,FALSE,FALSE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-27522,CWE-502,FALSE,TRUE,5,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-27496,CWE-532,FALSE,TRUE,10,18,8,TRUE,FALSE,18,8,0,0,18,8,TRUE,FALSE,18,8,0,0,0,1,0,0
CVE-2025-4641,CWE-611,FALSE,FALSE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-52888,CWE-611,FALSE,FALSE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-48976,CWE-770,FALSE,FALSE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-26074,CWE-78,FALSE,TRUE,2,4,1,TRUE,FALSE,4,1,0,0,4,1,TRUE,FALSE,4,1,0,0,0,1,0,0
CVE-2025-23026,CWE-79,FALSE,FALSE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-27497,CWE-835,FALSE,FALSE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-27427,CWE-863,FALSE,TRUE,8,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-30067,CWE-94,FALSE,TRUE,9,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
